city,latitude,longitude,weather,temperature,humidity,pressure,wind_speed
mount gambier,-37.8246698,140.7820067624113,Rain,73.63,58,1008,11.81
dikson,73.5083894,80.5123816,Clouds,-0.18,95,1010,4.56
vaini,-21.1925671,-175.1772797,Clouds,82.69,74,1014,10.36
hermanus,-34.4175,19.2361111,Clouds,59.85,66,1018,11.81
fare,45.90802,13.5165379,Clouds,56.39,96,1020,3.44
hasaki,35.7529706,140.8201321,Clouds,52.2,64,1025,12.64
puerto ayora,-0.7471674,-90.3134198,Clouds,68.2,88,1013,4.0
pevek,69.7028171,170.2746851,Clouds,-7.15,99,1007,1.41
port alfred,-33.5981844,26.8914772,Clouds,59.05,96,1020,1.01
egvekinot,66.3227382,-179.120131,Clouds,20.88,94,1004,4.09
albany,42.6511674,-73.754968,Clouds,45.3,47,1031,6.91
yakeshi,49.321229,121.278069,Clouds,12.49,80,1032,2.26
rikitea,-23.1229544,-134.9680141,Clouds,73.31,86,1017,8.79
guerrero negro,27.9709506,-114.036389,Clear,67.64,69,1017,15.66
severo-kurilsk,50.6683048,156.1154399,Clouds,36.55,69,1008,11.45
kolokani,13.577326,-8.031273,Clouds,73.81,15,1013,6.98
port hedland,-20.3111814,118.5801181,Clear,75.24,57,1010,16.11
puerto maldonado,-12.5938633,-69.1866773,Clear,84.38,61,1004,3.44
makakilo city,21.3469444,-158.0858333,Clouds,80.65,60,1020,14.97
port elizabeth,-33.9617051,25.6207519,Clouds,59.11,94,1020,4.61
castro,45.802987,10.06706,Rain,53.87,10,1019,1.83
hobart,-42.8825088,147.3281233,Clouds,72.19,53,1010,14.97
bredasdorp,-34.533055,20.042778,Clouds,58.91,59,1019,7.92
nanortalik,60.1400246,-45.2428523,Clouds,31.98,80,992,5.93
ancud,-41.8682162,-73.8287225,Clouds,52.41,89,1014,5.88
sarangani,5.4122896,125.4219492,Clouds,82.49,72,1010,3.8
kapaa,22.0747334,-159.3191601,Clouds,80.08,72,1020,18.41
ushuaia,-54.806115899999995,-68.3184972880496,Clouds,42.49,61,1004,20.71
bom jardim,-3.54129,-45.606004,Clouds,78.49,76,1012,4.74
barcelos,41.5314496,-8.6192306,Clouds,59.5,94,1022,4.92
souillac,44.8980172,1.46943,Clouds,51.48,98,1023,1.57
mataura,-46.192734,168.8642685,Clear,58.48,34,1026,5.01
general roca,-39.0266276,-67.5754863,Rain,62.56,64,1010,8.66
zhongshu,24.5315149,103.7612262,Clouds,49.87,99,1019,3.94
